obs,co2,methane
1:01,53.8,-0.109
1:02,53.6,0
1:03,53.5,0.178
1:04,53.5,0.339
1:05,53.4,0.373
1:06,53.1,0.441
1:07,52.7,0.461
1:08,52.4,0.348
1:09,52.2,0.127
1:10,52,-0.18
1:11,52,-0.588
1:12,52.4,-1.055
1:13,53,-1.421
1:14,54,-1.52
1:15,54.9,-1.302
1:16,56,-0.814
1:17,56.8,-0.475
1:18,56.8,-0.193
1:19,56.4,0.088
1:20,55.7,0.435
1:21,55,0.771
1:22,54.3,0.866
1:23,53.2,0.875
1:24,52.3,0.891
2:01,51.6,0.987
2:02,51.2,1.263
2:03,50.8,1.775
2:04,50.5,1.976
2:05,50,1.934
2:06,49.2,1.866
2:07,48.4,1.832
2:08,47.9,1.767
2:09,47.6,1.608
2:10,47.5,1.265
2:11,47.5,0.79
2:12,47.6,0.36
2:13,48.1,0.115
2:14,49,0.088
2:15,50,0.331
2:16,51.1,0.645
2:17,51.8,0.96
2:18,51.9,1.409
2:19,51.7,2.67
2:20,51.2,2.834
2:21,50,2.812
2:22,48.3,2.483
2:23,47,1.929
2:24,45.8,1.485
3:01,45.6,1.214
3:02,46,1.239
3:03,46.9,1.608
3:04,47.8,1.905
3:05,48.2,2.023
3:06,48.3,1.815
3:07,47.9,0.535
3:08,47.2,0.122
3:09,47.2,0.009
3:10,48.1,0.164
3:11,49.4,0.671
3:12,50.6,1.019
3:13,51.5,1.146
3:14,51.6,1.155
3:15,51.2,1.112
3:16,50.5,1.121
3:17,50.1,1.223
3:18,49.8,1.257
3:19,49.6,1.157
3:20,49.4,0.913
3:21,49.3,0.62
3:22,49.2,0.255
3:23,49.3,-0.28
3:24,49.7,-1.08
4:01,50.3,-1.551
4:02,51.3,-1.799
4:03,52.8,-1.825
4:04,54.4,-1.456
4:05,56,-0.944
4:06,56.9,-0.57
4:07,57.5,-0.431
4:08,57.3,-0.577
4:09,56.6,-0.96
4:10,56,-1.616
4:11,55.4,-1.875
4:12,55.4,-1.891
4:13,56.4,-1.746
4:14,57.2,-1.474
4:15,58,-1.201
4:16,58.4,-0.927
4:17,58.4,-0.524
4:18,58.1,0.04
4:19,57.7,0.788
4:20,57,0.943
4:21,56,0.93
4:22,54.7,1.006
4:23,53.2,1.137
4:24,52.1,1.198
5:01,51.6,1.054
5:02,51,0.595
5:03,50.5,-0.08
5:04,50.4,-0.314
5:05,51,-0.288
5:06,51.8,-0.153
